"city","country","pop2023","latitude","longitude","fill"
"Dollard-Des Ormeaux","Canada",48930,45.4945,-73.8242
"Brandon","Canada",48859,49.8469,-99.9531
"Cornwall","Canada",48821,45.0181,-74.7281
"Vernon Lake","Canada",48073,50.0261,-126.362
"North Vancouver","Canada",48000,49.3164,-123.069
"West End","Canada",47200,49.2833,-123.133
"Rouge","Canada",46496,43.8041,-79.1657
"Blainville","Canada",46493,45.6668,-73.8825
"L'Amoreaux","Canada",43993,43.7957,-79.3141
"Islington-City Centre West","Canada",43965,43.6335,-79.5433
"Malvern","Canada",43794,43.8094,-79.2234
"Quinte West","Canada",43577,44.1834,-77.5662
"Chatham","Canada",43550,42.4122,-82.1849
"Chateauguay","Canada",42786,45.3834,-73.7492
"West Vancouver","Canada",42694,49.3667,-123.167
"Salaberry-de-Valleyfield","Canada",42410,45.2501,-74.1325
"Charlottetown","Canada",42402,46.2346,-63.1256
"Rimouski","Canada",42240,48.4488,-68.524
"Saint-Eustache","Canada",42062,45.565,-73.9055
"Timmins","Canada",41788,48.4669,-81.3331
"Sorel-Tracy","Canada",41629,46.0418,-73.1136
"Grande Prairie","Canada",41462,55.1667,-118.803
"Ancaster","Canada",40557,43.2181,-79.9872
"Woodstock","Canada",40404,43.1334,-80.7497
"Vernon","Canada",40116,50.2673,-119.273
"Boucherville","Canada",39062,45.591,-73.4361
"St. Thomas","Canada",38909,42.7736,-81.1804
"Shawinigan","Canada",38211,46.5667,-72.7491
"Dovercourt-Wallace Emerson-Junction","Canada",36625,43.6657,-79.4385
"Spruce Grove","Canada",36135,53.5334,-113.919
"Rock Forest","Canada",35500,45.357,-71.9968
"Langford","Canada",35342,48.4496,-123.503
"Prince Albert","Canada",35102,53.2001,-105.768
"Downsview-Roding-CFB","Canada",35052,43.7333,-79.4905
"Parkwoods-Donalda","Canada",34805,43.755,-79.3302
"Joliette","Canada",34772,46.0164,-73.4236
"Mascouche","Canada",34626,45.7496,-73.5996
"Mirabel","Canada",34626,45.6501,-74.0825
"Victoriaville","Canada",34426,46.0501,-71.9658
"Brant","Canada",34415,43.1334,-80.3497
"Mimico","Canada",33964,43.6162,-79.5127
"Moose Jaw","Canada",33890,50.4001,-105.534
"Penticton","Canada",33761,49.4806,-119.586
"Campbell River","Canada",33430,50.0163,-125.245
"West Humber-Clairville","Canada",33312,43.7162,-79.5964
"Mission","Canada",33261,49.133,-122.303
"Leamington","Canada",32991,42.0501,-82.5998
"Mount Olive-Silverstone-Jamestown","Canada",32954,43.7469,-79.5873
"Stratford","Canada",31465,43.3668,-80.9497
