place
Eau Claire Market
Calgary Tower
Calgary petroleum Club
Glenbow Museum
Prince's Island Park
The Bow
Studio Bell
Fort Calgary
Western Canada High School
Olympic Plaza
Devonian Gardens
Safeway beltline
